razao_social;cnpj;placa;servico_regular;servico_fretado;servico_semiurbano;data_validade_csv;validade_seguro;ano_fabricacao;categoria_veiculo;nr_assentos_categoria;nr_assentos
A M DOS SANTOS TRANSPORTE LTDA;14.863.960/0001-90;QTU-4A53;Não;Sim;Não;2023-01-10;2022-12-03;2019;Convencional;16;16
A&C LOCADORA EIRELI;35.909.144/0001-40;FMC-4472;Não;Sim;Não;2022-10-19;2022-09-03;2013;Convencional;16;16
A. ALVES TRANSPORTE E TURISMO LTDA - ME;08.348.422/0001-64;BCY-1G33;Não;Sim;Não;2023-01-21;2022-09-03;2019;Semileito;67;67
A. C. M. TRANSPORTES TURÍSTICOS LTDA - ME;73.500.696/0001-99;IPS-6981;Não;Sim;Não;2022-08-11;2022-11-30;2009;Leito;40;40
A.J. VIDOTTI & CIA LTDA;11.487.926/0001-70;AUR-0B05;Não;Sim;Não;2022-04-16;2022-11-05;2009;Executivo;29;29
A.J.LOCACOES DE VEICULOS LTDA;02.538.968/0001-00;AYZ-5580;Não;Sim;Não;2022-09-13;2022-08-14;2014;Executivo;19;19
A.S.S. TURISMO LTDA - ME;82.342.510/0001-01;AWM-1488;Não;Sim;Não;2022-09-23;2022-04-28;2012;Semileito;59;59
A.V. TRANSPORTES UNIVERSITARIO EIRELI;05.520.905/0001-06;BAI-4198;Não;Sim;Não;2022-10-14;2022-07-21;2015;Convencional;20;20
ABELAZERI AGENCIA DE VIAGENS E TURISMO LTDA;06.374.378/0001-31;OLL-6330;Não;Sim;Não;2022-10-08;2022-10-05;2014;Leito/Semileito;12|51;63
ABENCOADO LOCACAO DE VEICULOS LTDA;21.612.044/0001-42;BZL-8A02;Não;Sim;Não;2022-03-03;2023-01-22;2019;Executivo;19;19
AC TRANSPORTES E SERVIÇOS LTDA - EPP;04.205.633/0001-97;PXA-1083;Não;Sim;Não;2022-11-24;2022-05-12;2014;Semileito;44;44
AC TRANSPORTES E SERVIÇOS LTDA - EPP;04.205.633/0001-97;QPN-5255;Não;Sim;Não;2022-11-18;2022-05-12;2018;Semileito;46;48
